Entity,Code,Year,"Mean years of schooling (ISCED 1 or higher), population 25+ years, female"
Afghanistan,AFG,1975,0.2122
Afghanistan,AFG,1979,0.15689
Afghanistan,AFG,2015,0.74902
Afghanistan,AFG,2021,2.31108
Afghanistan,AFG,2022,1.17413
Albania,ALB,2001,8.23519
Albania,ALB,2008,8.77193
Albania,ALB,2011,9.39647
Albania,ALB,2012,9.83249
Albania,ALB,2017,9.6699
Algeria,DZA,1971,0.24293
Algeria,DZA,2006,5.16391
Algeria,DZA,2008,5.35618
Algeria,DZA,2011,5.04055
Algeria,DZA,2019,6.49624
American Samoa,ASM,1974,8.72367
American Samoa,ASM,1980,8.5252
American Samoa,ASM,1990,10.31818
Andorra,AND,2003,10.03948
Andorra,AND,2004,10.56852
Andorra,AND,2005,9.96473
Andorra,AND,2006,10.36856
Andorra,AND,2014,10.58952
Andorra,AND,2015,10.51278
Andorra,AND,2016,10.49055
Andorra,AND,2022,11.52259
Angola,AGO,2014,3.13211
Angola,AGO,2015,4.11691
Anguilla,AIA,2001,10.72076
Argentina,ARG,1970,5.71462
Argentina,ARG,1980,6.82075
Argentina,ARG,1991,8.09267
Argentina,ARG,2001,8.97764
Argentina,ARG,2003,10.00761
Argentina,ARG,2006,10.27607
Argentina,ARG,2008,10.4934
Argentina,ARG,2009,10.66305
Argentina,ARG,2010,10.68136
Argentina,ARG,2011,10.7754
Argentina,ARG,2012,10.94651
Argentina,ARG,2013,11.00965
Argentina,ARG,2014,11.07514
Argentina,ARG,2015,11.08461
Argentina,ARG,2016,11.06379
Argentina,ARG,2018,11.29546
Argentina,ARG,2020,11.39166
Armenia,ARM,2001,10.39706
Armenia,ARM,2011,11.18952
Armenia,ARM,2015,11.57561
Armenia,ARM,2016,11.68066
Armenia,ARM,2017,11.18345
Armenia,ARM,2020,11.32152
Aruba,ABW,1991,6.57412
Aruba,ABW,2000,8.3515
Aruba,ABW,2010,8.28815
Australia,AUS,1971,8.43783
Australia,AUS,2004,11.35782
Australia,AUS,2005,11.41157
Australia,AUS,2006,11.55758
Australia,AUS,2007,11.63407
Australia,AUS,2008,11.90552
Australia,AUS,2009,11.96806
Australia,AUS,2010,12.04116
Australia,AUS,2011,12.15478
Australia,AUS,2012,12.31255
Australia,AUS,2013,12.04196
Australia,AUS,2014,12.13216
Australia,AUS,2015,12.23505
Australia,AUS,2016,12.35841
Australia,AUS,2017,12.35355
Australia,AUS,2018,12.52498
Australia,AUS,2019,12.60936
Australia,AUS,2020,12.72825
Australia,AUS,2021,12.847
Australia,AUS,2022,12.94658
Austria,AUT,1971,9.06684
Austria,AUT,1981,9.57839
Austria,AUT,1991,9.73447
Austria,AUT,2005,11.13826
Austria,AUT,2007,11.04211
Austria,AUT,2008,10.92392
Austria,AUT,2009,11.23935
Austria,AUT,2010,11.30691
Austria,AUT,2011,11.29426
Austria,AUT,2012,11.34415
Austria,AUT,2013,11.40441
Austria,AUT,2014,11.62955
Austria,AUT,2015,11.71461
Austria,AUT,2016,11.77391
Austria,AUT,2017,11.84229
Austria,AUT,2019,11.97801
Azerbaijan,AZE,1999,9.78889
Azerbaijan,AZE,2007,10.25167
Azerbaijan,AZE,2008,10.26628
Azerbaijan,AZE,2009,10.27427
Azerbaijan,AZE,2010,10.30679
Azerbaijan,AZE,2011,10.30986
Azerbaijan,AZE,2012,10.31059
Azerbaijan,AZE,2013,10.2442
Azerbaijan,AZE,2014,10.24438
Azerbaijan,AZE,2015,10.23991
Azerbaijan,AZE,2016,10.32177
Azerbaijan,AZE,2017,10.29898
Azerbaijan,AZE,2018,10.29064
Azerbaijan,AZE,2019,10.28767
Azerbaijan,AZE,2023,10.98376
Bahamas,BHS,1990,10.05289
Bahamas,BHS,2000,11.24169
Bahamas,BHS,2010,12.01387
Bahrain,BHR,1971,1.12039
Bahrain,BHR,1991,5.02416
Bahrain,BHR,2001,7.22993
Bahrain,BHR,2010,7.9834
Bahrain,BHR,2016,8.9353
Bahrain,BHR,2017,9.13249
Bahrain,BHR,2018,10.38379
Bahrain,BHR,2020,10.73379
Bahrain,BHR,2022,11.36216
Bangladesh,BGD,1974,0.36262
Bangladesh,BGD,1981,0.92185
Bangladesh,BGD,2001,3.77931
Bangladesh,BGD,2011,4.40422
Bangladesh,BGD,2012,4.53899
Bangladesh,BGD,2013,4.36723
Bangladesh,BGD,2014,4.59836
Bangladesh,BGD,2015,5.34107
Bangladesh,BGD,2016,5.43883
Bangladesh,BGD,2017,5.63924
Bangladesh,BGD,2018,5.79832
Bangladesh,BGD,2019,5.97717
Bangladesh,BGD,2020,6.47372
Bangladesh,BGD,2021,6.24428
Barbados,BRB,1970,8.2708
Barbados,BRB,2000,9.074
Belarus,BLR,1970,5.88431
Belarus,BLR,1989,6.51704
Belarus,BLR,2009,11.06092
Belarus,BLR,2019,12.1546
Belgium,BEL,1970,7.11706
Belgium,BEL,2006,10.78918
Belgium,BEL,2008,10.88357
Belgium,BEL,2009,11.04336
Belgium,BEL,2010,11.17325
Belgium,BEL,2011,11.23901
Belgium,BEL,2012,11.27209
Belgium,BEL,2013,11.35049
Belgium,BEL,2014,11.43643
Belgium,BEL,2015,11.7336
Belgium,BEL,2016,11.82734
Belgium,BEL,2017,12.10628
Belgium,BEL,2019,12.3194
Belize,BLZ,1970,4.51409
Belize,BLZ,1980,4.9188
Belize,BLZ,1991,5.55404
Belize,BLZ,2005,7.96506
Belize,BLZ,2010,10.49278
Belize,BLZ,2015,8.94382
Belize,BLZ,2020,9.04207
Benin,BEN,1979,0.35527
Benin,BEN,2002,1.51134
Benin,BEN,2017,1.65254
